Lat,Lon,Depth,Depth (KNNImputer),Depth (RF)
3.20208333333332,4.447916666666671,-3481,-3480.44,-3479.63
3.2104166666666742,4.447916666666671,-3477,-3478.08,-3477.85
3.2312499999999886,4.447916666666671,-3477,-3477.75,-3476.84
3.347916666666663,4.447916666666671,-3288,-3286.03,-3289.66
3.427083333333343,4.447916666666671,-3134,-3133.86,-3130.59
3.4604166666666742,4.447916666666671,-2940,-2948.65,-2944.13
3.464583333333337,4.447916666666671,-2916,-2913.66,-2921.92
3.552083333333343,4.447916666666671,-2870,-2864.23,-2865.63
3.5562500000000057,4.447916666666671,-2877,-2874.16,-2872.14
3.5812500000000114,4.447916666666671,-2914,-2913.31,-2913.08
3.589583333333337,4.447916666666671,-2922,-2921.45,-2921.52
3.652083333333337,4.447916666666671,-2894,-2893.49,-2894.19
2.552083333333343,4.452083333333334,-3865,-3861.86,-3863.01
2.6187500000000057,4.452083333333334,-3858,-3856.14,-3858.32
2.6437500000000114,4.452083333333334,-3801,-3801.2,-3802.54
2.660416666666663,4.452083333333334,-3828,-3826.66,-3823.86
2.7520833333333314,4.452083333333334,-3785,-3784.72,-3784.42
2.8312500000000114,4.452083333333334,-3762,-3761.4,-3759.75
2.8354166666666742,4.452083333333334,-3765,-3762.46,-3761.09
2.8979166666666742,4.452083333333334,-3745,-3742.69,-3743.01
2.910416666666663,4.452083333333334,-3737,-3741.05,-3741.24
2.9187499999999886,4.452083333333334,-3731,-3731.26,-3734.77
2.9562500000000114,4.452083333333334,-3678,-3678.21,-3679.31
3.03125,4.452083333333334,-3578,-3576.52,-3577.61
3.0437499999999886,4.452083333333334,-3556,-3555.46,-3556.17
3.0687499999999943,4.452083333333334,-3526,-3526.01,-3527.07
3.1104166666666515,4.452083333333334,-3508,-3507.73,-3507.79
3.1854166666666686,4.452083333333334,-3491,-3491.15,-3491.57
3.21875,4.452083333333334,-3475,-3475.09,-3474.67
3.2437500000000057,4.452083333333334,-3473,-3474.04,-3472.27
3.2479166666666686,4.452083333333334,-3472,-3471.84,-3471.9
3.2562499999999943,4.452083333333334,-3471,-3471.45,-3471.84
3.260416666666657,4.452083333333334,-3471,-3471.43,-3470.98
3.26458333333332,4.452083333333334,-3470,-3469.62,-3470.62
3.3062500000000057,4.452083333333334,-3427,-3429.18,-3428.31
3.322916666666657,4.452083333333334,-3401,-3402.22,-3401.87
3.32708333333332,4.452083333333334,-3391,-3388.29,-3391.23
3.3770833333333314,4.452083333333334,-3110,-3113.08,-3117.34
3.5437499999999886,4.452083333333334,-2843,-2845.92,-2844.82
3.6270833333333314,4.452083333333334,-2909,-2908.7,-2909.06
3.6437500000000114,4.452083333333334,-2898,-2897.49,-2898.42
2.5604166666666686,4.456249999999997,-3835,-3833.74,-3833.05
2.5687499999999943,4.456249999999997,-3818,-3817.64,-3818.01
2.6437500000000114,4.456249999999997,-3806,-3807.92,-3807.38
2.660416666666663,4.456249999999997,-3832,-3833.31,-3829.76
2.677083333333343,4.456249999999997,-3864,-3861.31,-3863.13
2.71875,4.456249999999997,-3785,-3784.12,-3781.76
2.722916666666663,4.456249999999997,-3789,-3788.13,-3787.06
2.76458333333332,4.456249999999997,-3792,-3789.43,-3793.33
2.84375,4.456249999999997,-3756,-3756.33,-3756.96
2.847916666666663,4.456249999999997,-3753,-3755.11,-3754.78
2.910416666666663,4.456249999999997,-3739,-3738.22,-3740.35
2.9604166666666742,4.456249999999997,-3671,-3672.16,-3670.3
2.964583333333337,4.456249999999997,-3666,-3663.97,-3664.68
3.0062499999999943,4.456249999999997,-3622,-3622.68,-3621.79
3.01458333333332,4.456249999999997,-3608,-3610.05,-3607.99
3.0187500000000114,4.456249999999997,-3601,-3598.17,-3599.16
3.0479166666666515,4.456249999999997,-3549,-3548.25,-3548.68
3.0687499999999943,4.456249999999997,-3525,-3526.11,-3526.86
3.1645833333333258,4.456249999999997,-3522,-3521.45,-3520.74
3.177083333333343,4.456249999999997,-3516,-3513.58,-3515.99
3.222916666666663,4.456249999999997,-3473,-3472.69,-3472.41
3.239583333333343,4.456249999999997,-3468,-3467.77,-3468.62
3.3062500000000057,4.456249999999997,-3421,-3422.89,-3418.91
3.3104166666666686,4.456249999999997,-3413,-3411.62,-3411.55
3.464583333333337,4.456249999999997,-2930,-2925.8,-2932.18
3.5187500000000114,4.456249999999997,-2846,-2849.11,-2851.96
3.5395833333333258,4.456249999999997,-2825,-2831.86,-2828.53
2.5562500000000057,4.46041666666666,-3847,-3850.23,-3846.78
2.6020833333333258,4.46041666666666,-3878,-3877.16,-3876.95
2.6895833333333314,4.46041666666666,-3847,-3843.0,-3846.62
2.7270833333333258,4.46041666666666,-3787,-3787.6,-3786.69
2.7687500000000114,4.46041666666666,-3794,-3792.73,-3793.26
2.777083333333337,4.46041666666666,-3784,-3781.62,-3782.91
2.8062500000000057,4.46041666666666,-3761,-3760.29,-3759.97
2.8354166666666742,4.46041666666666,-3756,-3757.04,-3755.97
